Image	Object type	Name	Classification	Parent	ROI	Atlas_X	Atlas_Y	Atlas_Z	hemisphere	channel	Atlas_AP	Atlas_DV	Atlas_ML	animal
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.2665	4.9676	3.2834	Right	Negative	-6.238782537219523	3.7727244778668405	-2.4166000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.2296	5.0691	2.974	Right	Negative	-6.210869260748823	3.871149219454516	-2.726	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.2852	4.9174	3.3081	Right	Negative	-6.2530361597879045	3.724008446934075	-2.3919	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.2018	5.1408	3.2853	Right	Negative	-6.189424114896881	3.940819393890291	-2.4147000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.2233	5.086	2.9886	Right	Negative	-6.206066166203281	3.8875500129603147	-2.7114000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.4278	4.5339	3.52	Right	Negative	-6.36166929639206	3.3518663209809585	-2.18	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.2833	4.9223	3.3192	Right	Negative	-6.251570453000995	3.7287697394998007	-2.3808000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.2557	4.9961	3.3234	Right	Negative	-6.230507573148438	3.800397070554212	-2.3766000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.4253	4.5406	3.5429	Right	Negative	-6.359762753123241	3.3583686053240336	-2.1571000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.4336	4.5161	3.7727	Right	Negative	-6.365895853420086	3.334660809768652	-1.9273000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3901	4.6337	3.6443	Right	Negative	-6.332810899400219	3.448759163617895	-2.0557000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.457	4.455	3.6336	Right	Negative	-6.383881593473551	3.275314402163499	-2.0664000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.1015	5.4115	3.0191	Right	Negative	-6.113098846240069	4.203472921642677	-2.6809000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.1522	5.2761	2.9825	Right	Negative	-6.151805029865288	4.0720539447623345	-2.7175000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.2171	5.1009	3.146	Right	Negative	-6.201188379642053	3.902062964036985	-2.5540000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker+	DCO	Polygon	11.4457	4.4844	3.6933	Right	Positive	-6.375186972221894	3.303873935285085	-2.0067000000000004	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3918	4.63	3.5419	Right	Negative	-6.334181954138808	3.445142087691526	-2.1581	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.1223	5.3548	3.1156	Right	Negative	-6.128877965346585	4.148475457473555	-2.5844	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.0296	5.6039	2.9933	Right	Negative	-6.0582412123519225	4.390204194806677	-2.7067	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.2057	5.1306	3.2505	Right	Negative	-6.192420285643412	3.930912662454795	-2.4495	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.4354	4.5129	3.6058	Right	Negative	-6.367410105499856	3.3315054166086027	-2.0942000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.4492	4.4744	3.7835	Right	Negative	-6.377802096237738	3.29418805495631	-1.9165	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.1288	5.3387	2.9928	Right	Negative	-6.133950023425944	4.132810067484758	-2.7072000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.2062	5.1317	2.9912	Right	Negative	-6.193014254309482	3.931905342176939	-2.7088	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.4308	4.5244	3.6819	Right	Negative	-6.3638299009302335	3.3426914570551265	-2.0181	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3261	4.8072	3.3889	Right	Negative	-6.284175960089066	3.6170784667554035	-2.3111	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.0807	5.4678	2.9342	Right	Negative	-6.097284864836454	4.2580944617805265	-2.7658	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3468	4.7513	3.4348	Right	Negative	-6.299925184319971	3.562841072921596	-2.2652	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker+	DCO	Polygon	11.3358	4.7811	3.4122	Right	Positive	-6.291564283774843	3.5917518632561434	-2.2878000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.1034	5.406	3.047	Right	Negative	-6.114512259581332	4.1981477430300425	-2.653	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.4309	4.5245	3.6397	Right	Negative	-6.3639382359743175	3.342777215790174	-2.0603000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3262	4.8077	3.3163	Right	Negative	-6.284319157430249	3.617540149521722	-2.3837	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.1885	5.1777	3.1172	Right	Negative	-6.179390772319648	3.9765919480536422	-2.5828	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3682	4.6939	3.4812	Right	Negative	-6.316241011225419	3.507136408061124	-2.2188000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.4584	4.4513	3.5999	Right	Negative	-6.384953789802711	3.271721993055442	-2.1001000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3382	4.7756	3.3053	Right	Negative	-6.29347579446515	3.586385573279655	-2.3947000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3207	4.8224	3.2999	Right	Negative	-6.280121276009135	3.6318075826733596	-2.4001	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.2118	5.1165	3.0041	Right	Negative	-6.197268177329031	3.9171597817134414	-2.6959	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.1002	5.4152	2.9838	Right	Negative	-6.112126269380715	4.2070571084779615	-2.7162	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.033	5.5949	2.988	Right	Negative	-6.060843872640705	4.381466346828851	-2.712	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.1053	5.4012	3.0285	Right	Negative	-6.115986681942517	4.193480431472134	-2.6715	animalid0
